project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
opencomic,2024-10-23T01:18:44.955Z,0,0,0,0,0,0,6,9,12,10,13,8,16,18,16,14,24,1.875,14.875,3.563204817496262,4.940720016932176,13.0,6.933333333333334,0.5792646172393009,0.5796843975337027,0.0,0.0,-0.11872047378739646,1.2052050645045078,1.3239255382919042
carbon,2019-02-25T19:54:07.338Z,0,0,0,0,0,0,0,0,0,0,0,6,12,30,26,16,13,0.0,12.875,0.0,11.051018052650171,12.875,inf,0.0,0.43170471873498645,0.0,0.0,-0.43923667182883946,0.9698105452167863,1.4090472170456259
expresslrs,2022-01-04T05:21:31.097Z,0,0,0,0,0,0,0,0,1,17,10,10,10,5,12,20,18,0.0,12.75,0.0,5.092010548749033,12.75,inf,0.0,0.11032401941492852,0.0,0.0,-0.43923667182883946,0.9550983877613037,1.3943350595901431
react-awesome-query-builder,2020-02-15T17:04:13.789Z,0,0,0,0,0,0,0,0,0,11,16,13,12,7,9,10,21,0.0,12.375,0.0,4.405759217854998,12.375,inf,0.0,0.023174311122793192,0.0,0.0,-0.43923667182883946,0.910961915394856,1.3501985872236955
mdanalysis,2022-04-05T20:12:43.276Z,0,0,3,14,11,11,17,15,20,15,31,11,21,26,19,29,14,8.875,20.75,6.875162335745763,7.3436075214142145,11.875,1.3380281690140845,0.8009246766330259,0.002270577105014192,0.0,0.0,1.0778733322339906,1.8966764649121899,0.8188031326781993
mdanalysis,2022-04-05T20:12:43.276Z,0,0,3,14,11,11,17,15,20,15,31,11,21,26,19,29,14,8.875,20.75,6.875162335745763,7.3436075214142145,11.875,1.3380281690140845,0.8009246766330259,0.002270577105014192,0.0,0.0,1.0778733322339906,1.8966764649121899,0.8188031326781993
monitorcontrol,2021-08-19T19:31:47.381Z,1,15,17,18,13,12,5,25,25,38,39,31,20,26,17,11,18,13.25,25.0,7.535629654230248,10.253919111386491,11.75,0.8867924528301887,0.1438155136268344,0.8075828157349897,0.0,0.0,1.8257444609973577,2.396889818398598,0.5711453574012404
reactive-resume,2023-11-25T04:39:03.334Z,0,19,16,35,21,27,26,12,66,48,26,31,29,21,31,45,18,19.5,31.125,10.623424252901833,10.575409482109226,11.625,0.5961538461538461,0.14349005424954786,0.11502931046280877,0.0,0.0,2.8941317878021677,3.1177855337172455,0.2236537459150778
ocrmypdf,2019-09-27T14:09:43.503Z,0,0,0,0,0,1,15,11,5,14,14,10,12,9,15,28,17,3.375,14.875,6.045954964153424,5.914570386523678,11.5,3.4074074074074074,0.5588898969455883,0.25788181530907417,0.0,0.0,0.13769248464575792,1.2052050645045078,1.06751257985875
projectsend,2022-10-28T10:39:15.919Z,0,0,0,0,0,0,0,0,18,18,8,20,8,15,11,6,5,0.0,11.375,0.0,5.655275665884277,11.375,inf,0.0,0.38927441440004257,0.0,0.0,-0.43923667182883946,0.7932646557509953,1.2325013275798347
intelowl-project,2022-12-27T21:13:38.393Z,0,0,0,0,0,0,0,0,0,0,25,15,7,13,11,6,13,0.0,11.25,0.0,7.3824115301167,11.25,inf,0.0,0.0015602571303750857,0.0,0.0,-0.43923667182883946,0.7785524982955127,1.2177891701243522
anotherredisdesktopmanager,2020-07-09T15:10:10.974Z,0,0,0,0,0,13,26,24,25,16,25,9,16,22,19,19,27,7.875,19.125,11.49456393257265,5.693040864574423,11.25,1.4285714285714286,0.7309160182521447,0.18074248983339888,0.0,0.0,0.906931359945221,1.7054184179909162,0.7984870580456952
anotherredisdesktopmanager,2020-07-09T15:10:10.974Z,0,0,0,0,0,13,26,24,25,16,25,9,16,22,19,19,27,7.875,19.125,11.49456393257265,5.693040864574423,11.25,1.4285714285714286,0.7309160182521447,0.18074248983339888,0.0,0.0,0.906931359945221,1.7054184179909162,0.7984870580456952
openstf,2019-06-28T06:17:04.872Z,0,0,0,0,0,0,0,4,13,10,8,13,18,13,9,9,13,0.5,11.625,1.4142135623730951,3.2923070504261465,11.125,22.25,0.3333333333333334,0.006354436337961873,0.0,0.0,-0.35376568568445466,0.8226889706619605,1.176454656346415
