slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
banane9_silverconfig,SilverConfig,Banane9,Library for easy Configuration Generation.,2,0,1,0,0,1,C#,2014-08-29T21:40:01Z,2014-09-25T10:01:09Z,https://github.com/Banane9/SilverConfig,True
banane9_silverconfig,SilverConfig,Banane9,Library for easy Configuration Generation.,2,0,1,0,0,1,C#,2014-08-29T21:40:01Z,2014-09-25T10:01:09Z,https://github.com/Banane9/SilverConfig,True
ironsmile_connectionoverride,ConnectionOverride,ironsmile,Makes possible playing some Xlive games via Hamachi or Tunggle,1,0,2,0,0,0,Python,2013-05-02T17:19:28Z,2018-06-10T17:53:07Z,https://github.com/ironsmile/ConnectionOverride,True
ironsmile_connectionoverride,ConnectionOverride,ironsmile,Makes possible playing some Xlive games via Hamachi or Tunggle,1,0,2,0,0,0,Python,2013-05-02T17:19:28Z,2018-06-10T17:53:07Z,https://github.com/ironsmile/ConnectionOverride,True
alphabetum_lcclasses,lcclasses,xwmx,Ruby gem for listing and manipulating Library of Congress Classification classes and subclasses,3,1,2,0,0,0,Ruby,2010-02-26T01:39:01Z,2021-11-14T02:50:10Z,https://github.com/alphabetum/lcclasses,True
szepeviktor_seo-panel,Seo-Panel,szepeviktor,World's first seo control panel for multiple websites,1,2,3,0,0,0,PHP,2014-09-08T18:57:38Z,2015-06-05T12:43:38Z,https://github.com/szepeviktor/Seo-Panel,True
ionicabizau_screensaver,screensaver,IonicaBizau,:computer: gnome-screensaver alternative for Ubuntu,0,1,2,0,0,1,Shell,2014-03-16T06:25:20Z,2025-02-14T01:35:20Z,https://github.com/IonicaBizau/screensaver,True
jcayzac_iphone-math,iphone-math,jcayzac,"C/C++ routines for iPhone, N95, N800, etc.",0,0,1,0,0,0,C++,2015-03-19T05:19:34Z,2023-01-28T18:08:12Z,https://github.com/jcayzac/iphone-math,True
rlogiacco_qube,Qube,rlogiacco,An LED cube driver library for Arduino and similar uControllers,2,0,2,0,0,0,C++,2014-08-12T14:41:29Z,2024-01-27T15:13:21Z,https://github.com/rlogiacco/Qube,True
sharparam_minecraftservercommander,MinecraftServerCommander,Sharparam,It makes your life hosting the default minecraft java server easier!,4,2,2,0,0,0,C#,2011-02-05T22:28:25Z,2021-07-27T23:50:00Z,https://github.com/Sharparam/MinecraftServerCommander,True
swcarpentry_2012-11-scripps,2012-11-scripps,swcarpentry,"Software Carpentry repository for Scripps, Nov 15-16 2012",5,32,8,0,0,0,Python,2012-11-05T16:44:50Z,2023-05-04T20:30:52Z,https://github.com/swcarpentry/2012-11-scripps,True
eeue56_pycho,pycho,eeue56,A game engine with inbuilt AI support written for Python 2 and 3.,6,1,3,17,0,0,Python,2014-02-16T17:14:17Z,2025-03-25T07:23:49Z,https://github.com/eeue56/pycho,True
